reviewText,sentiment
Best product I have used so far!,2
"A decent product, but has room for improvement.",1
"The product works as expected, nothing more.",1
"Not impressed, but not disappointed either.",1
Worst product ever! Avoid at all costs.,0
Worst product ever! Avoid at all costs.,0
"Neither good nor bad, just average.",1
"It's an okay product, nothing special.",1
"It's an okay product, nothing special.",1
Absolutely loved this product! Highly recommended.,2
"The product works as expected, nothing more.",1
Exceeded my expectations in every way.,2
"Not impressed, but not disappointed either.",1
Broke after a few days of use. Waste of money.,0
Broke after a few days of use. Waste of money.,0
"Not impressed, but not disappointed either.",1
I'm extremely satisfied with this purchase.,2
"Very poor experience, wouldn't recommend.",0
I'm extremely satisfied with this purchase.,2
"A decent product, but has room for improvement.",1
"It's an okay product, nothing special.",1
"Neither good nor bad, just average.",1
"Terrible quality, completely disappointed.",0
Absolutely loved this product! Highly recommended.,2
Fantastic quality and great value for money.,2
"Neither good nor bad, just average.",1
"Neither good nor bad, just average.",1
Broke after a few days of use. Waste of money.,0
Broke after a few days of use. Waste of money.,0
"It's an okay product, nothing special.",1
"It's an okay product, nothing special.",1
"Neither good nor bad, just average.",1
"It's an okay product, nothing special.",1
"Very poor experience, wouldn't recommend.",0
"Neither good nor bad, just average.",1
"Very poor experience, wouldn't recommend.",0
"It's an okay product, nothing special.",1
"The product works as expected, nothing more.",1
"Terrible quality, completely disappointed.",0
Not worth the price. I regret buying this.,0
"Neither good nor bad, just average.",1
"It's an okay product, nothing special.",1
"Terrible quality, completely disappointed.",0
Not worth the price. I regret buying this.,0
"It's an okay product, nothing special.",1
Best product I have used so far!,2
"A decent product, but has room for improvement.",1
I'm extremely satisfied with this purchase.,2
Broke after a few days of use. Waste of money.,0
I'm extremely satisfied with this purchase.,2
"Not impressed, but not disappointed either.",1
Not worth the price. I regret buying this.,0
"Very poor experience, wouldn't recommend.",0
Worst product ever! Avoid at all costs.,0
"Very poor experience, wouldn't recommend.",0
Not worth the price. I regret buying this.,0
"It's an okay product, nothing special.",1
"A decent product, but has room for improvement.",1
Absolutely loved this product! Highly recommended.,2
"Not impressed, but not disappointed either.",1
"The product works as expected, nothing more.",1
"It's an okay product, nothing special.",1
"Very poor experience, wouldn't recommend.",0
"It's an okay product, nothing special.",1
I'm extremely satisfied with this purchase.,2
"The product works as expected, nothing more.",1
Broke after a few days of use. Waste of money.,0
"It's an okay product, nothing special.",1
"Not impressed, but not disappointed either.",1
"The product works as expected, nothing more.",1
"A decent product, but has room for improvement.",1
"Very poor experience, wouldn't recommend.",0
Best product I have used so far!,2
"Terrible quality, completely disappointed.",0
"Terrible quality, completely disappointed.",0
"Neither good nor bad, just average.",1
"Not impressed, but not disappointed either.",1
Broke after a few days of use. Waste of money.,0
"It's an okay product, nothing special.",1
Broke after a few days of use. Waste of money.,0
Fantastic quality and great value for money.,2
"It's an okay product, nothing special.",1
"Not impressed, but not disappointed either.",1
Exceeded my expectations in every way.,2
"Terrible quality, completely disappointed.",0
"The product works as expected, nothing more.",1
Not worth the price. I regret buying this.,0
Fantastic quality and great value for money.,2
Worst product ever! Avoid at all costs.,0
"It's an okay product, nothing special.",1
"It's an okay product, nothing special.",1
"It's an okay product, nothing special.",1
"A decent product, but has room for improvement.",1
"Neither good nor bad, just average.",1
"Terrible quality, completely disappointed.",0
"Neither good nor bad, just average.",1
"Very poor experience, wouldn't recommend.",0
"It's an okay product, nothing special.",1
Exceeded my expectations in every way.,2
Not worth the price. I regret buying this.,0
"It's an okay product, nothing special.",1
"The product works as expected, nothing more.",1
"Neither good nor bad, just average.",1
"Not impressed, but not disappointed either.",1
"The product works as expected, nothing more.",1
"Terrible quality, completely disappointed.",0
Best product I have used so far!,2
Not worth the price. I regret buying this.,0
"Terrible quality, completely disappointed.",0
"Very poor experience, wouldn't recommend.",0
"The product works as expected, nothing more.",1
"The product works as expected, nothing more.",1
"A decent product, but has room for improvement.",1
Not worth the price. I regret buying this.,0
Best product I have used so far!,2
"It's an okay product, nothing special.",1
Fantastic quality and great value for money.,2
"Not impressed, but not disappointed either.",1
Best product I have used so far!,2
"Not impressed, but not disappointed either.",1
Exceeded my expectations in every way.,2
Broke after a few days of use. Waste of money.,0
"The product works as expected, nothing more.",1
Fantastic quality and great value for money.,2
Best product I have used so far!,2
"Not impressed, but not disappointed either.",1
Absolutely loved this product! Highly recommended.,2
"Terrible quality, completely disappointed.",0
"Not impressed, but not disappointed either.",1
"Very poor experience, wouldn't recommend.",0
"Not impressed, but not disappointed either.",1
Not worth the price. I regret buying this.,0
Broke after a few days of use. Waste of money.,0
"Terrible quality, completely disappointed.",0
"A decent product, but has room for improvement.",1
"The product works as expected, nothing more.",1
"Terrible quality, completely disappointed.",0
I'm extremely satisfied with this purchase.,2
"Terrible quality, completely disappointed.",0
Worst product ever! Avoid at all costs.,0
"A decent product, but has room for improvement.",1
Fantastic quality and great value for money.,2
"It's an okay product, nothing special.",1
"Neither good nor bad, just average.",1
"It's an okay product, nothing special.",1
Absolutely loved this product! Highly recommended.,2
Absolutely loved this product! Highly recommended.,2
"Terrible quality, completely disappointed.",0
"It's an okay product, nothing special.",1
Not worth the price. I regret buying this.,0
"It's an okay product, nothing special.",1
"Not impressed, but not disappointed either.",1
"A decent product, but has room for improvement.",1
"The product works as expected, nothing more.",1
"It's an okay product, nothing special.",1
Absolutely loved this product! Highly recommended.,2
"The product works as expected, nothing more.",1
"Neither good nor bad, just average.",1
"Neither good nor bad, just average.",1
Broke after a few days of use. Waste of money.,0
"Neither good nor bad, just average.",1
I'm extremely satisfied with this purchase.,2
"Neither good nor bad, just average.",1
"It's an okay product, nothing special.",1
Worst product ever! Avoid at all costs.,0
"Not impressed, but not disappointed either.",1
Broke after a few days of use. Waste of money.,0
"The product works as expected, nothing more.",1
"Terrible quality, completely disappointed.",0
Not worth the price. I regret buying this.,0
